Category,Count
amd-drm-fixes-6.13-2024-12-04,1
drm-fixes-2024-12-07,1
sound-6.13-rc2,1
regmap-fix-v6.13-rc1,1
spi-fix-v6.13-rc1,1
mmc-v6.13-rc1,1
pmdomain-v6.13-rc1,1
x86/CPU/AMD,3
gpio: ljca,1
Merge branch 'fixes-for-lpm-trie',1
efi/zboot,2
smb3.1.1,1
RISC-V: KVM,16
ALSA,4
ALSA: hda,7
x86/cacheinfo,1
cacheinfo,3
wifi: cfg80211,10
x86/kexec: Restore GDT on return from ,1
tty: serial,4
iio: magnetometer,5
sched/numa,2
mm/damon,2
lib: stackinit,1
mm/filemap,1
scatterlist,2
mm: memcg,1
stackdepot,1
"Revert ""readahead",1
selftests/damon,1
selftest: hugetlb_dio,1
kasan,9
mm/mempolicy,2
mm/gup,4
fs/proc/vmcore.c,1
net/mlx5,34
tipc,2
perf tools,14
audit-pr-20241205,1
for-linus-iommufd,3
drm-misc-fixes-2024-12-05,1
v6.13-rc1-ksmbd-server-fixes,1
drm-xe-fixes-2024-12-04,1
batman-adv,3
drm/amd/pm,26
amdgpu/uvd,1
"Revert ""drm/amdgpu",1
vfio/mlx5,3
net-6.13-rc2,1
trace-v6.13-rc1,1
hid-for-linus-2024120501,1
arm64: ptrace,4
linux-watchdog-6.13-rc1,1
drm/v3d,2
arm64: cpufeature,2
nvme-6.13-2024-12-05,1
asoc-fix-v6.13-rc1,1
virtio-blk,1
firmware: microchip,1
clocksource,1
coco: virt,1
drm/dp_mst,8
x86/cpu/topology,1
ASoC: mediatek,4
x86/mm,4
spi: omap2-mcspi,1
jffs2,6
arm64: mte,2
arm64: Ensure bits ASID[15,1
ACPI/IORT,2
net :mana ,1
nf-24-12-05,1
Merge branch 'vsock-test-fix-wrong-setsockopt-parameters',1
vsock/test,3
mtd: rawnand,9
mtd: diskonchip,1
audit,2
Merge branch '100GbE' of git,3
Merge branch 'mlx5-misc-fixes-2024-12-03',1
net/mlx5e,14
net/mlx5: HWS,2
Merge branch 'bnxt_en-support-header-page-pool-in-queue-api',1
geneve,1
mlxsw: spectrum_acl_flex_keys,1
ethtool,2
ipmr,5
fs/smb/client,4
tools headers,12
acpi: nfit,1
netfilter: nft_set_hash,1
x86/cpu,9
loongarch-fixes-6.13-1,1
platform-drivers-x86-v6.13-2,1
scsi: scsi_debug,2
scsi: storvsc,1
scsi: sg,2
scsi: qla2xxx,6
nvme-tcp,3
nvme-rdma,1
nvme-pci,7
scsi: mpi3mr,5
nvmet,15
nvme-fabrics,2
Merge branch 'fixes-for-stack-with-allow_ptr_leaks',1
scsi: mpt3sas,2
serial: sh-sci,2
usb: typec,20
usb: dwc2,3
usb: gadget,3
usb: misc,3
usb: dwc3,11
usb: core,2
usb: host,1
dt-bindings: phy,7
usb: ehci-hcd,1
gpio,6
spi: intel,1
net: sched,8
firmware: arm_ffa,1
"Revert ""udp",1
KVM: arm64,81
drm-misc-fixes-2024-11-28,1
drm-misc-fixes-2024-11-21,1
clk: en7523,8
bcache,2
samples/bpf,3
netfilter: nft_inner,1
for-6.13-rc1-tag,1
fs_for_v6.13-rc2,1
xfs-fixes-6.13-rc2,1
igb,3
ixgbe,3
ixgbevf,1
ice,17
drivers/virt: pkvm,1
perf machine,1
arm64: patching,1
dt-bindings: mtd,1
iommu/arm-smmu-v3,13
arm64: mm,2
irqchip/stm32mp-exti,2
module,15
doc: module,1
scripts/nsdeps,1
iommufd/selftest,10
iommufd,23
firmware: arm_scmi,11
genirq/proc,2
block: rnull,1
LoongArch: KVM,14
irqchip/bcm2836,1
net: hsr,5
wifi: mac80211,34
wifi: nl80211,2
net/qed,1
Merge branch 'two-fixes-for-smc',1
drm/xe/guc,5
dccp,1
net/ipv6,2
linux-can-fixes-for-6.13-20241202,1
Merge branch 'fix-missing-process_iter_arg-type-check',1
clk: amlogic,2
"Revert ""clk",1
"Revert ""drm/amd/pm",2
drm/amd/display,97
x86/pkeys,2
drm/amdgpu/hdp7.0,1
drm/amdgpu/hdp6.0,1
drm/amdgpu/hdp5.2,1
drm/amdgpu/hdp5.0,1
drm/amdgpu/hdp4.0,1
drm/amdgpu/jpeg1.0,1
perf test,25
Merge branch '6.13/scsi-queue' into 6.13/scsi-fixes,1
platform/x86: asus-nb-wmi,1
platform/x86: asus-wmi,4
platform/x86: samsung-laptop,1
pmdomain: imx,3
pmdomain: core,3
dt-bindings: power,7
mmc: core,8
mmc: sdhci-pci,2
ASoC: SOF,14
locking/ww_mutex,1
perf/x86/intel/ds,1
perf/x86/intel,2
locking: rtmutex,1
sched/deadline,2
sched/core,3
softirq,2
sched,8
can: j1939,2
LoongArch: BPF,2
LoongArch,24
LoongArch/irq,1
spi: apple,3
spi: mpc52xx,1
regmap,4
smb: server,1
Get rid of 'remove_new' relic from platform driver struct,1
Linux 6.13-rc1,1
i2c-for-6.13-rc1-part3,1
trace-printf-v6.13,1
ipv6,3
timers_urgent_for_v6.13_rc1,1
irq_urgent_for_v6.13_rc1,1
x86_urgent_for_v6.13_rc1,1
strscpy,1
arch_numa,1
memblock,2
ALSA: hda/tas2781,3
printf,2
turbostat-2024.11.30,1
pci-v6.13-fixes-1,1
